population,code,name,continent,region,surface_area,independence_year,life_expectancy,gnp,gnp_old,local_name,government_form,head_of_state,capital,code2
37032000,ARG,Argentina,South America,South America,2780400.0,1816.0,75.1,340238.0,323310.0,Argentina,Federal Republic,Fernando de la Rua,69.0,AR
18886000,AuS,Australia,Oceania,Australia and New Zealand,7741220.0,1901.0,79.8,351182.0,392911.0,Australia,"Constitutional Monarchy, Federation",Elisabeth II,135.0,Au
8091800,AuT,Austria,Europe,Western Europe,83859.0,1918.0,77.7,211860.0,206025.0,osterreich,Federal Republic,Thomas Klestil,1523.0,AT
10239000,BEL,Belgium,Europe,Western Europe,30518.0,1830.0,77.8,249704.0,243948.0,Belgie/Belgique,"Constitutional Monarchy, Federation",Albert II,179.0,BE
65000,BMu,Bermuda,North America,North America,53.0,,76.9,2328.0,2190.0,Bermuda,Dependent Territory of the uK,Elisabeth II,191.0,BM
170115000,BRA,Brazil,South America,South America,8547403.0,1822.0,62.9,776739.0,804108.0,Brasil,Federal Republic,Fernando Henrique Cardoso,211.0,BR
31147000,CAN,Canada,North America,North America,9970610.0,1867.0,79.4,598862.0,625626.0,Canada,"Constitutional Monarchy, Federation",Elisabeth II,1822.0,CA
7160400,CHE,Switzerland,Europe,Western Europe,41284.0,1499.0,79.6,264478.0,256092.0,Schweiz/Suisse/Svizzera/Svizra,Federation,Adolf Ogi,3248.0,CH
1277558000,CHN,China,Asia,Eastern Asia,9572900.0,-1523.0,71.4,982268.0,917719.0,Zhongquo,People'sRepublic,Jiang Zemin,1891.0,CN
42321000,COL,Colombia,South America,South America,1138914.0,1810.0,70.3,102896.0,105116.0,Colombia,Republic,Andres Pastrana Arango,2257.0,CO
82164700,DEu,Germany,Europe,Western Europe,357022.0,1955.0,77.4,2133367.0,2102826.0,Deutschland,Federal Republic,Johannes Rau,3068.0,DE
5330000,DNK,Denmark,Europe,Nordic Countries,43094.0,800.0,76.5,174099.0,169264.0,Danmark,Constitutional Monarchy,Margrethe II,3315.0,DK
39441700,ESP,Spain,Europe,Southern Europe,505992.0,1492.0,78.8,553233.0,532031.0,Espana,Constitutional Monarchy,Juan Carlos I,653.0,ES
5171300,FIN,Finland,Europe,Nordic Countries,338145.0,1917.0,77.4,121914.0,119833.0,Suomi,Republic,Tarja Halonen,3236.0,FI
59225700,FRA,France,Europe,Western Europe,551500.0,843.0,78.8,1424285.0,1392448.0,France,Republic,Jacques Chirac,2974.0,FR
59623400,GBR,united Kingdom,Europe,British Islands,242900.0,1066.0,77.7,1378330.0,1296830.0,united Kingdom,Constitutional Monarchy,Elisabeth II,456.0,GB
10545700,GRC,Greece,Europe,Southern Europe,131626.0,1830.0,78.4,120724.0,119946.0,Ellada,Republic,Kostis Stefanopoulos,2401.0,GR
56000,GRL,Greenland,North America,North America,2166090.0,,68.1,0.0,,Kalaallit Nunaat/Gronland,Part of Denmark,Margrethe II,917.0,GL
